dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg
ElSalvador,Samuria_19_5,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,9.0,2.0,racemosa,19.4038788347332
ElSalvador,Samuria_19_4,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,10.5,10.0,racemosa,57.9402283876625
ElSalvador,Samuria_19_4,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,24.6,22.0,racemosa,530.053008267532
ElSalvador,Samuria_19_4,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,25.2,22.0,racemosa,564.325183168623
ElSalvador,Samuria_19_4,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,9.4,10.0,racemosa,43.4530679351181
ElSalvador,Samuria_19_4,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,31.8,28.0,racemosa,1033.23363919082
ElSalvador,Samuria_19_4,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,27.8,28.0,racemosa,728.457962159043
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,13.2,14.0,racemosa,105.046175740483
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,17.3,15.0,racemosa,212.23054695277
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,33.5,25.0,racemosa,1183.05387798863
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,10.3,14.0,racemosa,55.1143651726446
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,30.0,25.0,racemosa,887.980210992976
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,5.1,3.0,racemosa,4.43139524521749
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,6.0,5.0,racemosa,13.5232562092683
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,10.1,9.0,racemosa,52.3749470627752
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,27.0,25.0,racemosa,675.202142976078
ElSalvador,Samuria_19_3,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,34.0,28.0,racemosa,1229.51323914311
ElSalvador,Samuria_19_2,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,10.3,8.0,racemosa,55.1143651726446
ElSalvador,Samuria_19_2,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,17.5,14.0,racemosa,218.668865512111
ElSalvador,Samuria_19_2,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,66.0,30.0,racemosa,6897.66753321658
ElSalvador,Samuria_19_2,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,6.0,7.0,racemosa,13.5232562092683
ElSalvador,Samuria_19_2,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,25.4,3.0,racemosa,288.022020536203
ElSalvador,Samuria_19_2,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,5.5,5.0,racemosa,10.7852699032137
ElSalvador,Samuria_19_2,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,24.1,24.0,racemosa,502.495683976885
ElSalvador,Samuria_19_1,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,12.9,12.0,racemosa,98.9512470758649
ElSalvador,Samuria_19_1,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,6.1,8.0,racemosa,14.1171034168405
ElSalvador,Samuria_19_1,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,42.0,26.0,racemosa,2129.78704118594
ElSalvador,Samuria_19_1,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,35.7,28.0,racemosa,1395.80704847828
ElSalvador,Samuria_19_1,2013-01-01,2013-12-31,13.199313945612474,-88.33673736866605,29.3,25.0,racemosa,835.110296015633
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.6,8.0,mangle,11.3025619315932
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,8.6,8.0,mangle,34.4813291669868
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.2,8.0,mangle,9.32173427161122
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.1,8.0,mangle,8.86279049043498
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.2,8.0,mangle,9.32173427161122
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,6.4,8.0,mangle,15.9939582324491
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.1,7.0,mangle,8.86279049043498
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,9.8,10.0,mangle,48.4256904955617
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,10.0,10.0,mangle,51.0373392649584
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,8.0,8.0,mangle,28.5707730469282
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.2,7.0,mangle,9.32173427161122
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.5,6.0,mangle,10.7852699032137
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.5,7.0,mangle,10.7852699032137
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,13.0,8.0,mangle,100.958000619217
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,7.2,8.0,mangle,21.7246363702149
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,9.8,8.0,mangle,48.4256904955617
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,10.9,8.0,mangle,63.8552956217146
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,7.8,6.0,mangle,26.7506286262562
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,15.5,10.0,mangle,159.496236719263
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,6.5,7.0,mangle,16.651860059109
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,5.7,7.0,mangle,11.8348470587484
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,6.4,7.5,mangle,15.9939582324491
ElSalvador,Piedra_Marcada_20_6,2013-01-01,2013-12-31,13.202544595221848,-88.32814867984379,7.9,8.0,mangle,27.6514851812709
