dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg,capture_start,capture_end,sentinel_time,Blue,Green,Red,RE1,RE2,RE3,NIR,SWIR1,SWIR2,NDVI,MNDWI,NBR,EVI,NDRE1,NDRE2,NDRE3,CIrededge,CLOUD_COVERAGE,cloud_threshold_used
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.1,6.0,mangle,8.86279049043498,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,17.9,9.0,germinans,142.224792895314,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.2,5.0,racemosa,9.79162691558522,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,15.4,10.0,germinans,99.1237595851825,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,10.7,9.0,mangle,60.8535399840106,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.9,5.0,mangle,12.9450357887192,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,22.2,10.0,germinans,238.437837498065,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,22.2,10.0,germinans,238.437837498065,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,14.0,10.0,germinans,78.856104905412,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.4,3.0,mangle,10.2828097512465,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.0,5.0,mangle,8.41802161311407,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,22.2,10.0,germinans,238.437837498065,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,7.0,5.0,mangle,20.1903073087462,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.7,5.0,mangle,11.8348470587484,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,12.9,10.0,mangle,98.9512470758649,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.7,3.0,mangle,35.5335077725161,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
ElSalvador,El_Jobal_9_5,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.5,5.0,racemosa,7.2574216749778,2017-01-01,2017-12-31,2017-01-12 16:16:21,0.0111,0.0405,0.0204,0.0704,0.2217,0.2654,0.2937,0.0947,0.035,0.8639414276998171,-0.4050445103857567,0.777196044211751,0.5166868472831845,0.6096708418293038,0.14407866609662245,0.05349079541507466,3.1238805970149253,1.0,10
