dataset,plot_id,start_date,end_date,latitude,longitude,diameter,height,species,plant_AGB_kg,date,nisar_value_hvhv,nisar_value_hhhh
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,9.0,8.0,mangle,38.8077576694664,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.1,7.0,germinans,10.737907035706,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.0,7.0,germinans,20.5846745215469,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_4,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.4,3.0,germinans,8.01443773648832,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,12.4,3.0,germinans,47.1443950232923,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,11.7,10.0,germinans,51.259469103962,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,7.3,6.0,germinans,16.5235325370851,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,9.5,6.0,germinans,31.0931475931565,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.9,6.0,germinans,26.5866765253533,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.2,4.0,germinans,8.93219256936432,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,9.0,8.0,germinans,27.309267931083,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,14.8,10.0,germinans,90.1065066137076,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.7,5.0,germinans,9.12489108260442,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.3,6.0,germinans,22.4861683269073,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.8,5.0,germinans,25.875362863288,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.4,5.0,germinans,12.0492488332584,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,7.2,5.0,germinans,15.9854927223311,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,13.1,9.0,germinans,67.2324821534372,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.7,4.0,germinans,9.12489108260442,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,12.5,8.0,germinans,60.0775297120534,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,12.3,9.0,germinans,57.7963354607419,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,10.5,9.0,germinans,39.535055558441,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.0,3.0,germinans,6.66278878550557,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_3,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.8,3.0,germinans,13.9363622397271,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.5,5.0,germinans,12.5060480111999,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.2,5.0,germinans,7.3204210370143,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.1,5.0,germinans,21.2076272232316,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,13.6,6.0,germinans,73.5565608908661,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,22.2,2.0,germinans,119.218918749033,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.0,3.0,germinans,6.66278878550557,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,19.7,10.0,germinans,178.997505396748,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.2,2.5,germinans,21.8414406794125,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,6.0,4.0,germinans,10.3202694558393,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,7.6,4.0,germinans,18.2003884475807,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.5,3.0,germinans,8.37526371019089,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,10.1,7.0,germinans,36.0163197045058,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,8.0,4.0,germinans,20.5846745215469,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,18.0,10.0,germinans,144.139180289922,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,10.3,4.0,germinans,37.7517749145073,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,25.9,12.0,germinans,345.181466471726,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_2,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,5.9,4.0,germinans,9.9122640739501,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_1,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,16.8,4.5,germinans,122.143486317949,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_1,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,10.3,4.0,germinans,37.7517749145073,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,El_Jobal_9_1,2013-01-01,2013-12-31,13.227360376425882,-88.60436965931343,20.5,4.0,germinans,196.941527581665,2025-12-13T11:30:58.000000Z,0.0223143100738525,0.1096658706665039
ElSalvador,Montecristo_21_6,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,6.6,6.0,racemosa,17.3261574857509,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_6,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,31.9,25.0,germinans,569.14860407816,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_6,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,9.5,7.0,germinans,31.0931475931565,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_6,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,9.8,12.0,racemosa,30.7567769370314,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_5,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,8.6,12.0,racemosa,34.4813291669868,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_5,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,37.3,20.0,racemosa,869.256032365498,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_5,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,5.0,5.0,racemosa,8.41802161311407,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_5,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,39.1,25.0,germinans,927.581873968651,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_5,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,8.8,8.0,racemosa,36.6052159066141,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_5,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,7.2,6.0,racemosa,21.7246363702149,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
ElSalvador,Montecristo_21_5,2013-01-01,2013-12-31,13.249280282257898,-88.77701022951307,8.2,10.0,racemosa,30.4652005489071,2025-12-13T11:30:58.000000Z,0.0288097858428955,0.0457139015197753
